datetime,open,high,low,close,chain_detected_5s,chain_detected_10s,chain_detected_30s,chain_detected_1m,chain_detected_2m,chain_detected_5m,chain_detected_10m
2025-04-03 16:37:05,205.57,205.6,205.55,205.6,0.0,,,,,,
2025-04-03 16:37:10,205.59,205.625,205.59,205.625,0.0,0.0,,,,,
2025-04-03 16:37:15,205.63,205.6995,205.63,205.6995,0.0,,,,,,
2025-04-03 16:37:20,205.68,205.69,205.63,205.67,0.0,0.0,,,,,
2025-04-03 16:37:25,205.7,205.81,205.7,205.8,0.0,,,,,,
2025-04-03 16:37:30,205.81337,205.86,205.79,205.835,0.0,0.0,-1.0,,,,
2025-04-03 16:37:35,205.83,205.83,205.76,205.775,0.0,,,,,,
2025-04-03 16:37:40,205.77,205.8199,205.77,205.81,0.0,0.0,,,,,
2025-04-03 16:37:45,205.81,205.865,205.81,205.865,0.0,,,,,,
2025-04-03 16:37:50,205.85,205.8607,205.82,205.82,0.0,0.0,,,,,
2025-04-03 16:37:55,205.815,205.89,205.8,205.88,0.0,,,,,,
2025-04-03 16:38:00,205.8852,205.8852,205.82,205.82,0.0,0.0,-1.0,-1.0,-1.0,,
2025-04-03 16:38:05,205.83,205.86,205.81,205.82,0.0,,,,,,
2025-04-03 16:38:10,205.82,205.83,205.81,205.81,0.0,0.0,,,,,
2025-04-03 16:38:15,205.81,205.82,205.75,205.7602,0.0,,,,,,
2025-04-03 16:38:20,205.7503,205.78,205.75,205.775,0.0,0.0,,,,,
2025-04-03 16:38:25,205.76,205.78,205.74,205.76,0.0,,,,,,
2025-04-03 16:38:30,205.74,205.75,205.69,205.7147,0.0,0.0,-1.0,,,,
2025-04-03 16:38:35,205.72,205.72,205.69,205.69,0.0,,,,,,
2025-04-03 16:38:40,205.67,205.6885,205.62,205.62,0.0,0.0,,,,,
2025-04-03 16:38:45,205.61,205.7,205.59,205.5901,0.0,,,,,,
2025-04-03 16:38:50,205.59,205.59,205.47,205.49,0.0,0.0,,,,,
2025-04-03 16:38:55,205.5,205.5,205.41,205.4236,0.0,,,,,,
2025-04-03 16:39:00,205.41,205.42,205.33,205.36,0.0,0.0,-1.0,-1.0,,,
2025-04-03 16:39:05,205.3453,205.46,205.345,205.41,0.0,,,,,,
2025-04-03 16:39:10,205.39,205.45,205.3601,205.4297,0.0,0.0,,,,,
2025-04-03 16:39:15,205.415,205.44,205.3672,205.4094,0.0,,,,,,
